Name,Tons Delivered,Tons Sold,Method,CDR_Link,Company_Link
EDAC Labs,0,317,Enhanced Weathering,https://www.cdr.fyi/supplier/edac-labs,https://edaclabs.com/
Cella,0,2 542,In-situ Mineralization,https://www.cdr.fyi/supplier/cella,https://www.cellamineralstorage.com/
Applied Carbon,0,82 530,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/applied-carbon,https://www.appliedcarbon.com/
Arca,0,664,Surficial Mineralization,https://www.cdr.fyi/supplier/arca,https://arcaclimate.com
Exterra Carbon Solutions,0,1 100,Ex-situ Mineralization,https://www.cdr.fyi/supplier/exterra-carbon-solutions,https://exterracarbon.com/
Deep Sky,0,10 000,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/deep-sky,https://www.deepskyclimate.com/
agriCARBON,0,6 001,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/agricarbon,https://www.microchar.eu
Elimini,0,3 130,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/elimini,https://elimini.com/
Spiritus,0,974,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/spiritus,https://spiritus.com/en
Terradot,0,301 998,Enhanced Weathering,https://www.cdr.fyi/supplier/terradot,https://terradot.earth/
Banyu Carbon,0,360,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/banyu-carbon,https://www.banyucarbon.com/
Carbon Limit,0,68,Ex-situ Mineralization,https://www.cdr.fyi/supplier/carbon-limit,https://www.carbonlimit.com/
Arukah,0,56 604,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/arukah,https://www.arukah.finance/
DarkBlack Carbon,0,8,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/rpbpalmer,https://www.linkedin.com/in/rpbpalmer/
Sustaera,0,5 959,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/sustaera,https://www.sustaera.com/
Nellie Technologies,0,17 500,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/nellie-technologies,https://www.nellie.tech/
Carbo Kollerup,0,600,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbokollerup,null
Mission Zero,0,866,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/mission-zero,https://www.missionzero.tech/
AtmosClear,0,6 750 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/atmosclear,https://atmosclear.earth/
Pull To Refresh,0,1,Marine Biomass Sinking,https://www.cdr.fyi/supplier/pull-to-refresh,https://www.pulltorefresh.earth
The Carbon Removers,0,3 498,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/the-carbon-removers,https://thecarbonremovers.com/
